material_id,cif_file,formula,theoretical,experimentally_observed,is_structure_representative,representative_material_id,structure_family_id,structure_family_size,n_duplicates_in_family,duplicate_material_ids
mp-1183119,Ac3Br_mp-1183119.cif,Ac3Br,True,No,True,mp-1183119,Ac3Br::sf-0001,1,0,
mp-1183056,Ac3Cl_mp-1183056.cif,Ac3Cl,True,No,True,mp-1183056,Ac3Cl::sf-0001,1,0,
mp-1183113,Ac3Cl_mp-1183113.cif,Ac3Cl,True,No,True,mp-1183113,Ac3Cl::sf-0002,1,0,
mp-1183096,Ac3I_mp-1183096.cif,Ac3I,True,No,True,mp-1183096,Ac3I::sf-0001,1,0,
mp-1183107,Ac3I_mp-1183107.cif,Ac3I,True,No,True,mp-1183107,Ac3I::sf-0002,1,0,
mp-27972,AcBr3_mp-27972.cif,AcBr3,False,Yes,True,mp-27972,AcBr3::sf-0001,1,0,
mp-27971,AcCl3_mp-27971.cif,AcCl3,False,Yes,True,mp-27971,AcCl3::sf-0001,1,0,
mp-977360,AcF3_mp-977360.cif,AcF3,True,No,True,mp-977360,AcF3::sf-0001,1,0,
mp-985278,AcF3_mp-985278.cif,AcF3,True,No,True,mp-985278,AcF3::sf-0002,1,0,
mp-861867,AcI3_mp-861867.cif,AcI3,True,No,True,mp-861867,AcI3::sf-0001,1,0,
mp-862982,Ag2Br3_mp-862982.cif,Ag2Br3,True,No,True,mp-862982,Ag2Br3::sf-0001,1,0,
mp-864635,Ag2Cl3_mp-864635.cif,Ag2Cl3,True,No,True,mp-864635,Ag2Cl3::sf-0001,1,0,
mp-861945,Ag2F3_mp-861945.cif,Ag2F3,True,No,True,mp-861945,Ag2F3::sf-0001,1,0,
mp-542298,Ag2F5_mp-542298.cif,Ag2F5,False,Yes,True,mp-542298,Ag2F5::sf-0001,1,0,
mp-1391,Ag2F_mp-1391.cif,Ag2F,False,Yes,True,mp-1391,Ag2F::sf-0001,1,0,
mp-1183272,Ag3Br_mp-1183272.cif,Ag3Br,True,No,True,mp-1183272,Ag3Br::sf-0001,1,0,
mp-1183265,Ag3Cl_mp-1183265.cif,Ag3Cl,True,No,True,mp-1183265,Ag3Cl::sf-0001,1,0,
mp-562412,Ag3F8_mp-562412.cif,Ag3F8,False,Yes,True,mp-562412,Ag3F8::sf-0001,1,0,
mp-1183244,Ag3F_mp-1183244.cif,Ag3F,True,No,True,mp-1183244,Ag3F::sf-0001,1,0,
mp-1060967,AgBr_mp-1060967.cif,AgBr,True,No,True,mp-1060967,AgBr::sf-0001,1,0,
mp-2034510,AgBr_mp-2034510.cif,AgBr,True,No,False,mp-23231,AgBr::sf-0002,3,2,mp-23231;mp-570301
mp-23231,AgBr_mp-23231.cif,AgBr,False,Yes,True,mp-23231,AgBr::sf-0002,3,2,mp-2034510;mp-570301
mp-570301,AgBr_mp-570301.cif,AgBr,False,Yes,False,mp-23231,AgBr::sf-0002,3,2,mp-2034510;mp-23231
mp-866291,AgBr_mp-866291.cif,AgBr,True,No,True,mp-866291,AgBr::sf-0003,1,0,
mp-1536202,AgCl_mp-1536202.cif,AgCl,True,No,False,mp-22922,AgCl::sf-0001,2,1,mp-22922
mp-22922,AgCl_mp-22922.cif,AgCl,False,Yes,True,mp-22922,AgCl::sf-0001,2,1,mp-1536202
mp-570687,AgCl_mp-570687.cif,AgCl,False,Yes,True,mp-570687,AgCl::sf-0002,1,0,
mp-570858,AgCl_mp-570858.cif,AgCl,False,Yes,True,mp-570858,AgCl::sf-0003,1,0,
mp-726265,AgCl_mp-726265.cif,AgCl,True,No,True,mp-726265,AgCl::sf-0004,1,0,
mp-2284,AgF2_mp-2284.cif,AgF2,False,Yes,True,mp-2284,AgF2::sf-0001,1,0,
mp-7715,AgF2_mp-7715.cif,AgF2,False,Yes,True,mp-7715,AgF2::sf-0002,1,0,
mp-18536,AgF3_mp-18536.cif,AgF3,True,No,True,mp-18536,AgF3::sf-0001,1,0,
mp-7592,AgF_mp-7592.cif,AgF,False,Yes,True,mp-7592,AgF::sf-0001,1,0,
mp-33154,AgI2_mp-33154.cif,AgI2,True,No,True,mp-33154,AgI2::sf-0001,1,0,
mp-1182980,AgI_mp-1182980.cif,AgI,True,No,True,mp-1182980,AgI::sf-0001,1,0,
mp-22894,AgI_mp-22894.cif,AgI,False,Yes,True,mp-22894,AgI::sf-0002,1,0,
mp-22915,AgI_mp-22915.cif,AgI,False,Yes,True,mp-22915,AgI::sf-0003,1,0,
mp-22919,AgI_mp-22919.cif,AgI,False,Yes,True,mp-22919,AgI::sf-0004,2,1,mp-568927
mp-22925,AgI_mp-22925.cif,AgI,False,Yes,True,mp-22925,AgI::sf-0005,2,1,mp-684580
mp-567809,AgI_mp-567809.cif,AgI,False,Yes,True,mp-567809,AgI::sf-0006,1,0,
mp-568927,AgI_mp-568927.cif,AgI,False,Yes,False,mp-22919,AgI::sf-0004,2,1,mp-22919
mp-580941,AgI_mp-580941.cif,AgI,False,Yes,True,mp-580941,AgI::sf-0007,1,0,
mp-684580,AgI_mp-684580.cif,AgI,True,No,False,mp-22925,AgI::sf-0005,2,1,mp-22925
mp-23288,AlBr3_mp-23288.cif,AlBr3,False,Yes,True,mp-23288,AlBr3::sf-0001,1,0,
