perm,best_discovery_score,best_commonality_min,best_background_prev95,origin_formula
0,0.663568896926799,0.788104236125946,0.1580188679245283,RbCl
1,0.38968200602059094,0.9441438317298889,0.5872641509433962,CsBr3
2,0.6801803381937854,0.8359317779541016,0.18632075471698112,Er4I5
3,0.4568350894271203,0.9495003819465637,0.5188679245283019,CsBr3
4,0.4265266184536916,0.9419129490852356,0.5471698113207547,CrF5
5,0.7767338456129128,0.8829360604286194,0.12028301886792453,In2Cl3
6,0.7116414662801995,0.8475729823112488,0.16037735849056603,BeBr2
7,0.23902265530712202,0.31670501828193665,0.24528301886792453,MoBr2
8,0.5037466445059147,0.8343303799629211,0.39622641509433965,In7Cl9
9,0.36206682504348037,0.9418179988861084,0.6155660377358491,ZrI4
10,0.29593155181632846,0.9434208869934082,0.6863207547169812,DyBr2
11,0.4300288289504231,0.8981882929801941,0.5212264150943396,Sc7Cl12
12,0.7036313482050626,0.8380328416824341,0.16037735849056603,BeBr2
13,0.4304904708603643,0.9360408186912537,0.5400943396226415,PaBr5
14,0.670316940349228,0.858653724193573,0.21933962264150944,HgCl2
15,0.348909243660153,0.942277193069458,0.6297169811320755,Sm5Br11
16,0.4652535899911287,0.8614302277565002,0.45990566037735847,TaCl3
17,0.39761455863151907,0.9212490320205688,0.5683962264150944,SrF2
18,0.3927563721278928,0.9355545043945312,0.5801886792452831,FeF2
19,0.6604865502636388,0.7866469025611877,0.16037735849056603,TlI
20,0.4429472026959905,0.9582123160362244,0.5377358490566038,MoCl4
21,0.6621175683894248,0.7863805294036865,0.1580188679245283,AgBr
22,0.41270985637071,0.9458863735198975,0.5636792452830188,Ta2Cl5
23,0.47487806430402785,0.9236160516738892,0.4858490566037736,Sc5Cl8
24,0.7906113671806624,0.8639670610427856,0.08490566037735849,Ga2I3
25,0.34383013675797663,0.8475812673568726,0.5943396226415094,CaBr2
26,0.607715091896507,0.820608913898468,0.25943396226415094,TlCl2
27,0.7728759801050402,0.8254393339157104,0.06367924528301887,Tb6Br7
28,0.6718123643746915,0.7890538573265076,0.14858490566037735,InI
29,0.5829238462841736,0.9469720721244812,0.38443396226415094,ReI3
30,0.6873735951365164,0.8256272077560425,0.16745283018867924,In7Br9
31,0.3705106759971043,0.8679366111755371,0.5731132075471698,BaF2
32,0.405976634542897,0.9254521131515503,0.5613207547169812,AgF2
33,0.6100703923488563,0.6934848427772522,0.12028301886792453,AuCl
34,0.811027760213276,0.8554123640060425,0.05188679245283019,In5Cl9
