motif_rank,group,formula,score,formula_background_percentile
1,known,AlCl3,0.9135806560516357,40.37122969837587
1,known,FeCl3,0.9420815110206604,76.5661252900232
1,known,GaF3,0.9245362877845764,56.61252900232019
1,known,InBr3,0.9278712272644043,60.092807424593964
1,known,TaCl5,0.9436516761779785,77.49419953596288
1,known,ZrCl4,0.9607681035995483,90.95127610208816
1,known,GaCl3,1.0,100.0
1,blind,InI3,0.9704287648200989,95.1276102088167
1,blind,AlBr3,0.9974923729896545,100.0
1,blind,ZnCl2,0.9643017649650574,92.34338747099768
1,blind,SnCl2,0.9305614233016968,63.10904872389791
2,known,AlCl3,0.9196354746818542,51.972157772621806
2,known,FeCl3,0.9520705342292786,82.36658932714617
2,known,GaF3,0.9261079430580139,55.68445475638051
2,known,InBr3,0.9297553300857544,58.93271461716937
2,known,TaCl5,0.9535000324249268,83.52668213457076
2,known,ZrCl4,0.9607215523719788,90.48723897911833
2,known,GaCl3,0.9999998211860657,100.0
2,blind,InI3,0.9792675375938416,98.14385150812065
2,blind,AlBr3,0.9926670789718628,100.0
2,blind,ZnCl2,0.9550957679748535,85.38283062645012
2,blind,SnCl2,0.9189080595970154,51.508120649651964
3,known,AlCl3,0.9218975901603699,47.79582366589327
3,known,FeCl3,0.9478713870048523,77.03016241299304
3,known,GaF3,0.9297981858253479,55.4524361948956
3,known,InBr3,0.9314606785774231,58.46867749419954
3,known,TaCl5,0.9583737850189209,86.77494199535964
3,known,ZrCl4,0.9664589166641235,92.80742459396751
3,known,GaCl3,1.0,100.0
3,blind,InI3,0.9811336398124695,97.4477958236659
3,blind,AlBr3,0.9954418540000916,100.0
3,blind,ZnCl2,0.9575175642967224,86.07888631090486
3,blind,SnCl2,0.9195098280906677,45.93967517401392
4,known,AlCl3,0.9713032841682434,67.51740139211137
4,known,FeCl3,0.9797242283821106,80.2784222737819
4,known,GaF3,0.9708983302116394,67.51740139211137
4,known,InBr3,0.9740615487098694,71.22969837587007
4,known,TaCl5,0.9999995231628418,100.0
4,known,ZrCl4,0.9964208006858826,94.66357308584686
4,known,GaCl3,0.9513223171234131,47.09976798143852
4,blind,InI3,0.9726731777191162,69.83758700696056
4,blind,AlBr3,0.9453167915344238,45.47563805104408
4,blind,ZnCl2,0.9189004898071289,24.129930394431554
4,blind,SnCl2,0.9300273656845093,40.13921113689095
5,known,AlCl3,0.9719799160957336,59.86078886310905
5,known,FeCl3,0.9907227754592896,85.61484918793504
5,known,GaF3,0.9781659841537476,68.90951276102089
5,known,InBr3,0.9827646017074585,77.03016241299304
5,known,TaCl5,0.9970695972442627,96.2877030162413
5,known,ZrCl4,1.0,100.0
5,known,GaCl3,0.9853523969650269,79.58236658932715
5,blind,InI3,0.9663437604904175,54.524361948955914
5,blind,AlBr3,0.9851809144020081,79.58236658932715
5,blind,ZnCl2,0.9425886273384094,36.19489559164733
5,blind,SnCl2,0.9403383135795593,33.64269141531322
6,known,AlCl3,0.977323591709137,62.41299303944315
6,known,FeCl3,0.9888800382614136,82.830626450116
6,known,GaF3,0.9838013052940369,73.08584686774941
6,known,InBr3,0.9856493473052979,75.1740139211137
6,known,TaCl5,0.9948582053184509,94.19953596287704
6,known,ZrCl4,1.0000001192092896,100.0
6,known,GaCl3,0.9664589166641235,45.707656612529
6,blind,InI3,0.9914892911911011,87.93503480278422
6,blind,AlBr3,0.9659653902053833,45.707656612529
6,blind,ZnCl2,0.9614132046699524,39.90719257540603
6,blind,SnCl2,0.9559330940246582,35.730858468677496
7,known,AlCl3,0.9883567094802856,75.87006960556845
7,known,FeCl3,0.985304594039917,70.53364269141531
7,known,GaF3,0.9916404485702515,83.52668213457076
7,known,InBr3,1.0,100.0
7,known,TaCl5,0.9739808440208435,42.22737819025522
7,known,ZrCl4,0.9827646017074585,61.48491879350348
7,known,GaCl3,0.9619417190551758,26.450116009280745
7,blind,InI3,0.9859288334846497,71.6937354988399
7,blind,AlBr3,0.9711253046989441,38.2830626450116
7,blind,ZnCl2,0.9749501943588257,43.851508120649655
7,blind,SnCl2,0.9576773047447205,24.825986078886313
8,known,AlCl3,0.9964855313301086,89.55916473317865
8,known,FeCl3,0.994757890701294,85.84686774941996
8,known,GaF3,1.0,100.0
8,known,InBr3,0.9991203546524048,94.89559164733178
8,known,TaCl5,0.9812849760055542,40.60324825986079
8,known,ZrCl4,0.9838013052940369,53.82830626450116
8,known,GaCl3,0.9297981858253479,17.16937354988399
8,blind,InI3,0.9703142046928406,26.91415313225058
8,blind,AlBr3,0.9242534041404724,16.009280742459396
8,blind,ZnCl2,0.9529857635498047,22.2737819025522
8,blind,SnCl2,0.9809841513633728,39.675174013921115
