config,group,formula,material_id,score,formula_background_percentile
short,known,AlCl3,mp-25470,0.8826266527175903,44.31554524361949
short,known,FeCl3,mp-23204,0.9472475051879883,81.90255220417633
short,known,GaF3,mp-588,0.9081869721412659,54.060324825986086
short,known,InBr3,mp-570219,0.9108453989028931,55.68445475638051
short,known,TaCl5,mp-29831,0.9542556405067444,87.00696055684455
short,known,ZrCl4,mp-569175,0.9590228796005249,89.32714617169374
short,known,GaCl3,mp-30952,1.0,100.0
short,blind,InI3,mp-567789,0.977380633354187,96.2877030162413
short,blind,AlBr3,mp-23288,0.9962214231491089,100.0
short,blind,ZnCl2,mp-22909,0.9561988711357117,87.70301624129931
short,blind,SnCl2,mp-29179,0.8987212181091309,51.508120649651964
baseline,known,AlCl3,mp-25470,0.9135806560516357,40.37122969837587
baseline,known,FeCl3,mp-23204,0.9420815110206604,76.5661252900232
baseline,known,GaF3,mp-588,0.9245362877845764,56.61252900232019
baseline,known,InBr3,mp-570219,0.9278712272644043,60.092807424593964
baseline,known,TaCl5,mp-29831,0.9436516761779785,77.49419953596288
baseline,known,ZrCl4,mp-569175,0.9607681035995483,90.95127610208816
baseline,known,GaCl3,mp-30952,1.0,100.0
baseline,blind,InI3,mp-567789,0.9704287648200989,95.1276102088167
baseline,blind,AlBr3,mp-23288,0.9974923729896545,100.0
baseline,blind,ZnCl2,mp-22909,0.9643017649650574,92.34338747099768
baseline,blind,SnCl2,mp-29179,0.9305614233016968,63.10904872389791
medium,known,AlCl3,mp-25470,0.943669855594635,51.27610208816705
medium,known,FeCl3,mp-23204,0.9583019018173218,77.26218097447796
medium,known,GaF3,mp-588,0.9479488134384155,59.86078886310905
medium,known,InBr3,mp-570219,0.9489279985427856,62.18097447795824
medium,known,TaCl5,mp-29831,0.9607921838760376,79.11832946635731
medium,known,ZrCl4,mp-569175,0.9704844951629639,92.11136890951276
medium,known,GaCl3,mp-30952,0.9999998807907104,100.0
medium,blind,InI3,mp-567789,0.9819031953811646,97.21577726218096
medium,blind,AlBr3,mp-23288,0.9967911243438721,100.0
medium,blind,ZnCl2,mp-22909,0.9612189531326294,80.51044083526682
medium,blind,SnCl2,mp-29179,0.9389078617095947,37.58700696055685
wide,known,AlCl3,mp-25470,0.9882609248161316,60.78886310904872
wide,known,FeCl3,mp-23204,0.9917001128196716,74.0139211136891
wide,known,GaF3,mp-588,0.9910876154899597,71.46171693735499
wide,known,InBr3,mp-570219,0.9913623929023743,72.15777262180974
wide,known,TaCl5,mp-29831,0.9981313943862915,91.87935034802784
wide,known,ZrCl4,mp-569175,1.0000001192092896,100.0
wide,known,GaCl3,mp-30952,0.9897251129150391,66.5893271461717
wide,blind,InI3,mp-567789,0.9885772466659546,61.94895591647332
wide,blind,AlBr3,mp-23288,0.9892176389694214,64.96519721577727
wide,blind,ZnCl2,mp-22909,0.9513929486274719,28.074245939675173
wide,blind,SnCl2,mp-29179,0.9600004553794861,41.067285382830626
radial_rich,known,AlCl3,mp-25470,0.9359530210494995,50.580046403712295
radial_rich,known,FeCl3,mp-23204,0.9540627002716064,79.35034802784223
radial_rich,known,GaF3,mp-588,0.9380856156349182,54.524361948955914
radial_rich,known,InBr3,mp-570219,0.9383576512336731,55.22041763341067
radial_rich,known,TaCl5,mp-29831,0.9550588130950928,80.74245939675174
radial_rich,known,ZrCl4,mp-569175,0.9626489281654358,87.93503480278422
radial_rich,known,GaCl3,mp-30952,1.0000001192092896,100.0
radial_rich,blind,InI3,mp-567789,0.9781458973884583,97.6798143851508
radial_rich,blind,AlBr3,mp-23288,0.9949756264686584,100.0
radial_rich,blind,ZnCl2,mp-22909,0.9603819847106934,86.07888631090486
radial_rich,blind,SnCl2,mp-29179,0.9312807321548462,39.675174013921115
angular_rich,known,AlCl3,mp-25470,0.9096679091453552,39.90719257540603
angular_rich,known,FeCl3,mp-23204,0.9391902685165405,76.79814385150812
angular_rich,known,GaF3,mp-588,0.9213003516197205,56.380510440835266
angular_rich,known,InBr3,mp-570219,0.9240201711654663,58.93271461716937
angular_rich,known,TaCl5,mp-29831,0.9412762522697449,77.49419953596288
angular_rich,known,ZrCl4,mp-569175,0.9573425650596619,90.02320185614849
angular_rich,known,GaCl3,mp-30952,1.0000001192092896,100.0
angular_rich,blind,InI3,mp-567789,0.9667403697967529,94.89559164733178
angular_rich,blind,AlBr3,mp-23288,0.9965660572052002,100.0
angular_rich,blind,ZnCl2,mp-22909,0.9605028033256531,91.87935034802784
angular_rich,blind,SnCl2,mp-29179,0.9275846481323242,62.87703016241299
