group,formula,material_id,fixed_median_pct,fixed_min_pct,fixed_max_pct,fixed_top20_count,fixed_top10_count,n_configs
blind,AlBr3,mp-23288,100.0,64.96519721577727,100.0,5,5,6
blind,InI3,mp-567789,95.70765661252901,61.94895591647332,97.6798143851508,5,5,6
blind,SnCl2,mp-29179,46.287703016241295,37.58700696055685,63.10904872389791,0,0,6
blind,ZnCl2,mp-22909,86.89095127610209,28.074245939675173,92.34338747099768,5,2,6
known,AlCl3,mp-25470,47.44779582366589,39.90719257540603,60.78886310904872,0,0,6
known,FeCl3,mp-23204,77.03016241299304,74.0139211136891,81.90255220417633,1,0,6
known,GaCl3,mp-30952,100.0,66.5893271461717,100.0,5,5,6
known,GaF3,mp-588,56.49651972157773,54.060324825986086,71.46171693735499,0,0,6
known,InBr3,mp-570219,59.51276102088167,55.22041763341067,72.15777262180974,0,0,6
known,TaCl5,mp-29831,79.93039443155453,77.49419953596288,91.87935034802784,3,1,6
known,ZrCl4,mp-569175,90.48723897911833,87.93503480278422,100.0,6,4,6
