formula,local_median_pct,local_min_pct,local_max_pct,local_mean_pct,local_top20_count,local_top10_count,n_configs,reserved_formula
TiF4,97.79582366589327,90.02320185614849,97.91183294663574,96.24903325599382,6,6,6,False
CrF4,96.17169373549885,96.05568445475639,97.21577726218096,96.36504253673627,6,6,6,False
HfI4,95.70765661252901,91.64733178654292,99.76798143851508,95.3982985305491,6,6,6,False
ZrI4,95.59164733178655,91.87935034802784,99.53596287703016,95.28228924980665,6,6,6,False
VF4,92.5754060324826,91.415313225058,97.6798143851508,93.50348027842227,6,6,6,False
HfCl4,91.9953596287703,90.95127610208816,100.0,93.38747099767981,6,6,6,False
VCl4,99.07192575406032,81.20649651972158,99.53596287703016,96.13302397525136,6,5,6,False
TiCl4,98.83990719257541,82.36658932714617,99.07192575406032,96.01701469450889,6,5,6,False
TiBr4,98.37587006960557,83.52668213457076,98.60788863109049,95.86233565351894,6,5,6,False
AuCl3,96.51972157772622,81.67053364269141,98.37587006960557,94.50889404485692,6,5,6,False
SnCl4,96.40371229698376,86.07888631090486,97.91183294663574,95.05027068832173,6,5,6,False
CrCl3,96.2877030162413,82.830626450116,96.98375870069606,93.73549883990718,6,5,6,False
SnBr4,95.35962877030161,84.68677494199535,97.4477958236659,94.0061871616396,6,5,6,False
ReCl4,94.19953596287704,80.51044083526682,96.2877030162413,92.38205723124516,6,5,6,False
SnI4,92.92343387470999,88.16705336426914,96.75174013921114,92.92343387470997,6,5,6,False
MnF4,92.11136890951276,88.8631090487239,97.91183294663574,92.26604795050271,6,5,6,False
TcCl4,90.71925754060325,88.16705336426914,98.83990719257541,91.7246713070379,6,5,6,False
ZrCl4,90.48723897911833,87.93503480278422,100.0,91.7246713070379,6,4,6,True
VF5,91.29930394431554,87.93503480278422,94.89559164733178,91.37664346481051,6,3,6,False
TiI4,90.37122969837587,87.93503480278422,99.30394431554525,91.53132250580046,6,3,6,False
MoCl4,90.25522041763341,86.07888631090486,98.14385150812065,90.64191802010828,6,3,6,False
CrF5,89.79118329466357,86.3109048723898,94.43155452436194,89.79118329466358,6,3,6,False
ReCl5,88.2830626450116,87.47099767981439,92.34338747099768,89.05645784996132,6,2,6,False
VCl5,86.77494199535963,83.06264501160094,90.25522041763341,86.34957463263727,6,1,6,False
TcBr4,85.96287703016242,82.5986078886311,99.07192575406032,87.54833720030935,6,1,6,False
NbCl5,81.20649651972158,80.04640371229699,93.96751740139212,83.7200309358082,6,1,6,False
GaCl3,100.0,66.5893271461717,100.0,94.43155452436196,5,5,6,True
AlBr3,100.0,64.96519721577727,100.0,94.16086620262955,5,5,6,True
AlI3,100.0,55.91647331786543,100.0,92.61407579273009,5,5,6,False
GaBr3,99.76798143851508,57.076566125290014,99.76798143851508,92.57540603248259,5,5,6,False
GaI3,99.18793503480279,57.540603248259856,99.53596287703016,92.3047177107502,5,5,6,False
Ga3Cl7,98.95591647331787,51.972157772621806,100.0,91.29930394431555,5,5,6,False
PtCl4,98.14385150812065,78.19025522041764,99.30394431554525,95.08894044856923,5,5,6,False
BeCl2,97.4477958236659,39.21113689095127,99.07192575406032,87.78035576179428,5,5,6,False
BeI2,96.40371229698376,39.675174013921115,97.91183294663574,86.92962103634959,5,5,6,False
BeBr2,96.05568445475637,18.561484918793504,97.4477958236659,82.5599381283836,5,5,6,False
InI3,95.70765661252901,61.94895591647332,97.6798143851508,90.52590873936582,5,5,6,True
AuBr3,95.01160092807424,71.46171693735499,97.4477958236659,91.68600154679041,5,5,6,False
GaBr2,95.01160092807424,44.08352668213457,97.6798143851508,87.0843000773395,5,5,6,False
GaCl2,94.89559164733177,43.38747099767982,96.75174013921114,86.65893271461717,5,5,6,False
ReI3,93.85150812064965,53.596287703016245,96.2877030162413,87.50966744006188,5,5,6,False
GaI2,93.38747099767981,42.69141531322506,98.37587006960557,85.34416086620263,5,4,6,False
ZnI2,91.9953596287703,38.97911832946635,95.1276102088167,83.60402165506574,5,4,6,False
ZnBr2,90.83526682134571,38.74709976798144,93.96751740139212,82.67594740912607,5,4,6,False
HgI2,91.1832946635731,40.37122969837587,94.43155452436194,83.17865429234338,5,3,6,False
PdCl2,91.06728538283062,42.22737819025522,95.1276102088167,83.52668213457076,5,3,6,False
AuCl2,90.71925754060325,40.835266821345705,94.89559164733178,83.4106728538283,5,3,6,False
CuBr2,90.25522041763341,37.58700696055685,93.27146171693735,81.59319412219644,5,3,6,False
HgBr2,89.79118329466357,39.90719257540603,93.27146171693735,81.47718484145399,5,3,6,False
HgCl2,89.32714617169373,29.930394431554525,92.80742459396751,79.4276875483372,5,3,6,False
ZnCl2,89.0951276102088,40.60324825986079,93.96751740139212,81.7092034029389,5,3,6,True
ReCl3,87.47099767981439,54.75638051044084,93.7354988399072,83.52668213457076,5,3,6,False
Au3F8,88.2830626450116,55.22041763341067,93.27146171693735,83.75870069605568,5,2,6,False
Pt3I8,87.47099767981439,62.18097447795824,90.95127610208816,84.06805877803556,5,2,6,False
InBr2,87.35498839907193,43.851508120649655,92.34338747099768,81.1678267594741,5,2,6,False
TcCl3,87.12296983758701,77.9582366589327,93.96751740139212,87.27764887857695,5,2,6,False
W15I47,85.61484918793505,51.74013921113689,91.415313225058,81.12915699922661,5,2,6,False
W2Br5,85.1508120649652,47.33178654292343,92.34338747099768,80.62645011600928,5,2,6,False
InI2,84.57076566125289,44.31554524361949,90.71925754060325,79.11832946635731,5,2,6,False
W3Br7,88.8631090487239,30.39443155452436,90.95127610208816,78.65429234338747,5,1,6,False
TlBr3,87.81902552204176,51.04408352668214,91.1832946635731,82.48259860788863,5,1,6,False
CsI3,85.26682134570765,47.09976798143852,93.50348027842227,80.00773395204949,5,1,6,False
WBr5,84.80278422273781,79.81438515081206,96.05568445475639,85.80819798917247,5,1,6,False
MnF3,84.80278422273781,74.70997679814386,90.25522041763341,83.75870069605568,5,1,6,False
TaI4,83.9907192575406,77.49419953596288,92.5754060324826,84.8414539829853,5,1,6,False
OsBr4,81.67053364269142,79.58236658932715,98.60788863109049,84.18406805877804,5,1,6,False
WI4,88.39907192575406,77.03016241299304,89.79118329466357,86.81361175560711,5,0,6,False
W3I8,87.47099767981439,51.508120649651964,89.55916473317865,81.94122196442382,5,0,6,False
WI3,86.07888631090486,65.4292343387471,87.47099767981439,82.48259860788863,5,0,6,False
AlF3,81.67053364269141,77.7262180974478,83.9907192575406,81.32250580046404,5,0,6,False
BeF2,89.55916473317865,30.162412993039446,98.83990719257541,79.58236658932715,4,3,6,False
CaCl2,85.1508120649652,43.1554524361949,91.1832946635731,78.80897138437741,4,2,6,False
KF3,82.36658932714616,45.707656612529,94.66357308584686,79.1569992266048,4,2,6,False
W5I16,86.07888631090488,52.43619489559165,90.02320185614849,80.20108275328693,4,1,6,False
MoF6,84.57076566125289,75.1740139211137,93.96751740139212,83.25599381283835,4,1,6,False
RbI3,84.10672853828305,50.81206496519721,90.02320185614849,78.11291569992265,4,1,6,False
OsCl4,81.4385150812065,75.87006960556845,98.37587006960557,82.94663573085847,4,1,6,False
CsBr3,80.97447795823666,44.5475638051044,95.35962877030161,78.15158546017015,4,1,6,False
TaCl4,80.8584686774942,73.78190255220419,92.11136890951276,81.05181747873164,4,1,6,False
WCl5,80.16241299303945,77.7262180974478,93.27146171693735,82.67594740912607,4,1,6,False
Ag2F5,83.29466357308584,53.1322505800464,84.68677494199535,77.9582366589327,4,0,6,False
Ag3F8,82.36658932714617,55.4524361948956,84.45475638051045,77.1461716937355,4,0,6,False
TlBr2,82.25058004640371,43.619489559164734,87.70301624129931,76.8754833720031,4,0,6,False
SnI3,81.67053364269142,67.51740139211137,82.830626450116,78.15158546017015,4,0,6,False
Zr2Cl5,81.67053364269142,52.204176334106734,87.23897911832947,75.56071152358855,4,0,6,False
PtCl3,81.20649651972158,77.49419953596288,82.5986078886311,80.74245939675174,4,0,6,False
TlI3,80.74245939675174,52.90023201856149,85.1508120649652,74.63263727764888,4,0,6,False
NbCl4,80.16241299303944,73.31786542923435,93.50348027842227,80.70378963650425,3,1,6,False
TaCl5,79.93039443155453,77.49419953596288,91.87935034802784,82.2892498066512,3,1,6,True
SnF3,79.11832946635731,66.8213457076566,93.7354988399072,79.4276875483372,3,1,6,False
PbCl4,82.36658932714616,77.9582366589327,89.55916473317865,82.94663573085846,3,0,6,False
PdBr2,81.78654292343387,37.35498839907193,88.63109048723898,75.94740912606342,3,0,6,False
PtI2,80.97447795823666,33.17865429234338,86.77494199535964,72.73781902552204,3,0,6,False
PtCl2,80.51044083526682,42.92343387470998,89.79118329466357,76.5661252900232,3,0,6,False
W3Br8,80.04640371229698,47.56380510440835,83.29466357308584,75.13534416086621,3,0,6,False
TlCl2,79.81438515081206,41.29930394431555,86.77494199535964,74.20726991492653,3,0,6,False
PdI2,79.69837587006961,40.13921113689095,85.84686774941996,72.31245166279969,3,0,6,False
Ta2Cl5,79.58236658932715,48.72389791183295,84.22273781902551,73.08584686774942,3,0,6,False
CuCl2,78.77030162412993,33.64269141531322,84.22273781902551,70.88167053364269,3,0,6,False
CsI4,77.03016241299304,47.79582366589327,91.87935034802784,76.41144624903326,2,2,6,False
MoCl5,78.88631090487239,77.26218097447796,96.98375870069606,82.48259860788863,2,1,6,False
WCl4,78.88631090487239,70.99767981438515,90.48723897911833,78.42227378190255,2,1,6,False
MoF5,78.30626450116009,74.24593967517401,90.71925754060325,79.77571539056459,2,1,6,False
TaBr5,75.40603248259862,71.46171693735499,95.1276102088167,78.5769528228925,2,1,6,False
CrI2,77.84222737819026,32.71461716937355,83.52668213457076,70.14694508894046,2,0,6,False
UF5,77.61020881670534,68.21345707656613,88.8631090487239,78.73163186388244,2,0,6,False
TlCl3,77.61020881670532,20.185614849187935,81.90255220417633,66.20262954369683,2,0,6,False
NbF4,77.1461716937355,74.70997679814386,88.63109048723898,79.62103634957462,2,0,6,False
NbBr5,76.21809744779583,72.62180974477958,96.75174013921114,79.04098994586234,1,1,6,False
NbBr4,76.21809744779583,64.96519721577727,93.03944315545245,75.90873936581593,1,1,6,False
RuF4,73.31786542923435,71.22969837587007,95.59164733178655,77.1461716937355,1,1,6,False
WBr4,72.2737819025522,61.7169373549884,91.87935034802784,72.2737819025522,1,1,6,False
RuF5,71.80974477958236,67.28538283062645,94.89559164733178,75.44470224284609,1,1,6,False
UCl5,71.11368909512761,68.90951276102089,95.35962877030161,75.48337200309358,1,1,6,False
PtI4,70.76566125290023,69.60556844547564,97.4477958236659,75.67672080433101,1,1,6,False
UI4,70.53364269141531,64.73317865429235,97.21577726218096,73.9752513534416,1,1,6,False
NbI5,69.95359628770302,62.87703016241299,95.82366589327145,72.50580046403712,1,1,6,False
TaI5,69.60556844547564,60.556844547563806,96.51972157772622,72.11910286156225,1,1,6,False
RhF5,69.48955916473318,63.10904872389791,94.43155452436194,72.42846094354215,1,1,6,False
PaCl5,67.40139211136892,59.62877030162414,92.34338747099768,69.83758700696056,1,1,6,False
OsF5,66.24129930394432,61.02088167053365,93.7354988399072,70.53364269141532,1,1,6,False
PdF4,63.45707656612528,60.32482598607889,94.66357308584686,69.1415313225058,1,1,6,False
IrF4,61.1368909512761,57.540603248259856,94.19953596287704,67.05336426914154,1,1,6,False
PaBr5,60.324825986078885,55.91647331786543,91.415313225058,65.77726218097447,1,1,6,False
UBr5,59.51276102088167,55.22041763341067,92.80742459396751,65.66125290023201,1,1,6,False
PtF4,56.84454756380511,53.36426914153132,91.1832946635731,63.225058004640374,1,1,6,False
AuF5,52.204176334106734,46.403712296983755,91.64733178654292,59.97679814385151,1,1,6,False
UBr4,49.88399071925754,45.011600928074245,90.95127610208816,56.99922660479505,1,1,6,False
PdF3,79.23433874709977,76.33410672853829,81.20649651972158,78.92498066511988,1,0,6,False
PtBr3,78.65429234338748,75.87006960556845,80.97447795823666,78.61562258314,1,0,6,False
PtI3,78.30626450116009,77.03016241299304,80.74245939675174,78.53828306264501,1,0,6,False
FeCl3,77.03016241299304,74.0139211136891,81.90255220417633,77.64887857695282,1,0,6,True
Sn3F8,77.03016241299304,53.82830626450116,83.75870069605568,73.85924207269915,1,0,6,False
TaF5,72.15777262180976,67.74941995359629,89.32714617169374,74.47795823665894,1,0,6,False
NbF5,71.22969837587007,65.19721577726219,89.0951276102088,73.00850734725445,1,0,6,False
NbI4,70.41763341067286,57.076566125290014,89.55916473317865,69.37354988399072,1,0,6,False
ZrCl3,65.08120649651971,59.164733178654295,81.20649651972158,67.55607115235885,1,0,6,False
WCl6,57.77262180974478,51.27610208816705,84.91879350348029,63.03170920340295,1,0,6,False
SnF4,56.380510440835266,52.90023201856149,83.06264501160094,61.63959783449343,1,0,6,False
CdCl4,56.380510440835266,20.649651972157773,87.23897911832947,55.33642691415313,1,0,6,False
WF6,55.800464037122964,52.204176334106734,85.84686774941996,62.60634184068059,1,0,6,False
PbF4,55.220417633410676,51.27610208816705,81.4385150812065,60.092807424593964,1,0,6,False
ZrF4,53.59628770301624,39.90719257540603,82.5986078886311,56.264501160092806,1,0,6,False
Tb4F15,51.50812064965197,41.9953596287703,81.90255220417633,55.18174787316318,1,0,6,False
PtF5,50.812064965197216,44.31554524361949,89.79118329466357,57.927300850734724,1,0,6,False
OsF6,50.696055684454755,45.707656612529,87.23897911832947,58.31399845320959,1,0,6,False
IrF6,48.95591647331786,44.779582366589324,86.77494199535964,57.037896365042535,1,0,6,False
UF4,48.37587006960557,40.37122969837587,80.74245939675174,53.17092034029389,1,0,6,False
ThI4,46.75174013921114,37.58700696055685,88.39907192575406,52.12683681361176,1,0,6,False
HfF4,45.70765661252901,36.65893271461717,80.2784222737819,50.42536736272236,1,0,6,False
CeF4,44.66357308584686,37.12296983758701,80.04640371229699,49.80665119876257,1,0,6,False
ReCl6,42.34338747099768,25.986078886310903,86.5429234338747,48.453209590100535,1,0,6,False
WBr6,41.9953596287703,24.593967517401392,86.3109048723898,47.79582366589327,1,0,6,False
UCl6,41.29930394431554,24.361948955916475,87.00696055684455,47.409126063418405,1,0,6,False
UCl4,38.74709976798144,18.793503480278424,85.38283062645012,40.448569218870844,1,0,6,False
PaBr4,36.774941995359626,18.097447795823665,84.22273781902551,38.824439288476405,1,0,6,False
PaCl4,36.31090487238979,18.329466357308586,83.75870069605568,38.70843000773395,1,0,6,False
BiF5,35.84686774941996,18.097447795823665,83.29466357308584,40.98994586233565,1,0,6,False
PtF6,35.614849187935036,19.721577726218097,85.61484918793504,42.11136890951276,1,0,6,False
ThBr4,35.382830626450115,17.633410672853827,83.9907192575406,37.97370456303171,1,0,6,False
ThCl4,35.150812064965194,17.40139211136891,84.45475638051045,37.93503480278422,1,0,6,False
UF6,31.90255220417633,16.473317865429234,82.13457076566125,38.2830626450116,1,0,6,False
