config,group,formula,material_id,matched_site,matched_center,soap_similarity,nX_available,six_X_distances_scaled,radial_cv,planarity_ratio,best_m,best_psi,psi6,psi2,psi3,psi4,psi5,psi7,psi8,psi9,psi10
short,known,AlCl3,mp-25470,2,X,0.8826266527175903,6,"[1.266964637557499, 1.2669646912092083, 1.2669646912092083, 1.333170007536183, 1.3331700585235424, 1.3331700585235426]",0.025462283867169012,0.21903229722071818,10,0.9628331899163683,0.13559947461122174,0.5064479015175506,0.04049320978573738,0.2410405124772449,0.009309583818920367,0.10094415178314234,0.6589577259094754,0.0506128626681991,0.9628331899163683
short,known,FeCl3,mp-23204,2,X,0.9472475051879883,6,"[1.3113286049383277, 1.4279545537820248, 1.4279546039768805, 1.4284195069861843, 1.4284195571841742, 1.4957430359221935]",0.03837387982776586,0.18558360346127767,5,0.6591517485421634,0.610305341747848,0.23920930730931353,0.19906008978396633,0.38421701863977237,0.6591517485421634,0.2910901523753872,0.4163646299466713,0.289634021981063,0.20316346363504342
short,known,GaF3,mp-588,2,X,0.9081869721412659,6,"[1.4120833031859283, 1.4120835702000134, 1.412083654239902, 1.4120836658473486, 1.4163405076922762, 1.4163405235704223]",0.0014197028749827548,0.2224143189050394,6,0.4402918315479518,0.4402918315479518,0.07628229413099509,0.2653584122287285,0.23955919047813096,0.35816956521285725,0.15593387350111754,0.263799834565166,0.13401138549697456,0.007250470737856922
short,known,InBr3,mp-570219,2,X,0.9108453989028931,6,"[1.3743965773352869, 1.417440904796191, 1.4174409693290924, 1.4201545368816835, 1.4201545459867284, 1.4521555544329363]",0.01596705647145062,0.18917937395481393,6,0.7505095390493883,0.7505095390493883,0.2139870120319361,0.16513188181944674,0.4390614664219662,0.5226118111408069,0.0921303602982593,0.49435868341270617,0.25735712889640694,0.2939603149651223
short,known,TaCl5,mp-29831,14,X,0.9542556405067444,6,"[1.4568240384527802, 1.457031777166615, 1.4941712777673397, 1.5284050581916317, 1.6370817388891148, 1.6440123475124906]",0.050558146442230834,0.14624608647283213,5,0.5361472337354714,0.30228838163167504,0.35683570049976604,0.007186403613736348,0.07397170802453967,0.5361472337354714,0.23199287453645817,0.10421340169177942,0.07683857452335909,0.25117993035814906
short,known,ZrCl4,mp-569175,3,X,0.9590228796005249,6,"[1.426717664079526, 1.5040861338472913, 1.5116616280366688, 1.511661628036669, 1.5176288422171063, 1.5182404105335374]",0.021602110634044765,0.18245082301380203,6,0.6790359917336,0.6790359917336,0.19864097624004387,0.22684295158638929,0.43898933362696213,0.5515245961379142,0.17502667843750394,0.439871637283327,0.29159922275369415,0.16997283222498888
short,known,GaCl3,mp-30952,2,X,1.0,6,"[1.5428531485807475, 1.7059014364744856, 1.7062504702702908, 1.7194746256370799, 1.719631940906865, 1.7221634584980656]",0.038174728082637034,0.17959330727290335,6,0.9899893118849047,0.9899893118849047,0.26026677453310126,0.3308349773523063,0.34518242165945473,0.364312032677823,0.5395194960763852,0.18265045035953587,0.31098472411368117,0.4240659762654126
short,blind,InI3,mp-567789,5,X,0.977380633354187,6,"[1.5654070923774799, 1.6454291446234746, 1.6569518380502477, 1.675635832333438, 1.6790106763445798, 1.688324767922625]",0.024928932059050436,0.1712894900953574,6,0.9544334820819784,0.9544334820819784,0.07330467713115792,0.005075002909692535,0.13022662764369886,0.024527962760290577,0.028608945000508996,0.3118903569469693,0.024670443990036598,0.27003425030498335
short,blind,AlBr3,mp-23288,12,X,0.9962214231491089,6,"[1.5807466004073756, 1.6942901793582315, 1.7021198645830882, 1.7071365176404814, 1.715159680855188, 1.8278998216400864]",0.04201423865097253,0.17313305637633766,6,0.9488760891102095,0.9488760891102095,0.2541484843851221,0.3367708362039876,0.33391560989782765,0.23366852089337314,0.7104188626679431,0.10512804832942925,0.35505682031568914,0.3493118588419734
short,blind,ZnCl2,mp-22909,2,X,0.9561988711357117,6,"[1.609227507203553, 1.6092276356427957, 1.6092276452260406, 1.609227661681357, 1.6732370748467564, 1.6732371013291518]",0.018505470661788363,0.22190449779824042,4,0.600289984716045,0.33928715551620026,0.15830747344640486,0.04279703363370458,0.600289984716045,0.26528116321969203,0.28788109149947966,0.27144799002042685,0.08674313284639093,0.22800672360079485
