config,k,heldout_formula,heldout_material_id,heldout_score,heldout_formula_background_percentile,prototype_source_formulas,prototype_source_sites,train_min_coverage,train_mean_coverage,background_median_score,background_p95_score
short,1,AlCl3,mp-25470,0.9710037112236023,61.48491879350348,ZrCl4,3,0.9590228796005249,0.9866266250610352,0.9606705904006958,0.9962079226970673
short,2,AlCl3,mp-25470,0.9710037708282471,59.86078886310905,ZrCl4;GaCl3,3;0,0.9846412539482117,0.9934561848640442,0.9618930220603943,0.9962079226970673
short,3,AlCl3,mp-25470,0.9921929240226746,72.8538283062645,ZrCl4;GaCl3;GaF3,3;0;2,0.9934866428375244,0.9980640411376953,0.9829345345497131,0.9988351762294769
short,4,AlCl3,mp-25470,0.9921929240226746,72.8538283062645,ZrCl4;GaCl3;GaF3;FeCl3,3;0;2;0,0.9959904551506042,0.9991496205329895,0.9829345345497131,0.9988351762294769
short,1,FeCl3,mp-23204,0.9934866428375244,86.3109048723898,ZrCl4,3,0.9590228796005249,0.9828794002532959,0.9606705904006958,0.9962079226970673
short,2,FeCl3,mp-23204,0.9934866428375244,75.1740139211137,ZrCl4;InBr3,3;3,0.9590228796005249,0.9913031458854675,0.9833536148071289,0.9989695847034454
short,3,FeCl3,mp-23204,0.9934866428375244,75.1740139211137,ZrCl4;InBr3;GaCl3,3;3;0,0.9940024614334106,0.9981327056884766,0.9836742877960205,0.9989695847034454
short,4,FeCl3,mp-23204,0.9934866428375244,73.78190255220419,ZrCl4;InBr3;GaCl3;AlCl3,3;3;0;0,0.9959904551506042,0.9991323351860046,0.9849480390548706,0.9989695847034454
short,1,GaF3,mp-588,0.9846411943435669,71.46171693735499,ZrCl4,3,0.9590228796005249,0.9843537211418152,0.9606705904006958,0.9962079226970673
short,2,GaF3,mp-588,0.9846413135528564,70.99767981438515,ZrCl4;GaCl3,3;0,0.9710037112236023,0.9911832809448242,0.9618930220603943,0.9962079226970673
short,3,GaF3,mp-588,0.9921929240226746,74.0139211136891,ZrCl4;GaCl3;AlCl3,3;0;2,0.9934866428375244,0.9972465634346008,0.9843963384628296,0.9962689876556396
short,4,GaF3,mp-588,0.9921929240226746,74.0139211136891,ZrCl4;GaCl3;AlCl3;FeCl3,3;0;2;0,0.9940024614334106,0.9983322024345398,0.9843963384628296,0.9963866770267487
short,1,InBr3,mp-570219,0.9866183996200562,74.70997679814386,ZrCl4,3,0.9590228796005249,0.9840242266654968,0.9606705904006958,0.9962079226970673
short,2,InBr3,mp-570219,0.9866183400154114,74.24593967517401,ZrCl4;GaCl3,3;0,0.9710037112236023,0.9908537864685059,0.9618930220603943,0.9962079226970673
short,3,InBr3,mp-570219,0.9940024614334106,84.68677494199535,ZrCl4;GaCl3;AlCl3,3;0;2,0.9921929836273193,0.9969450831413269,0.9843963384628296,0.9962689876556396
short,4,InBr3,mp-570219,0.9940024614334106,82.36658932714617,ZrCl4;GaCl3;AlCl3;GaF3,3;0;2;0,0.9934866428375244,0.9982461929321289,0.9848283529281616,0.9972659349441528
short,1,TaCl5,mp-29831,0.9910686016082764,85.1508120649652,FeCl3,3,0.9472463130950928,0.9836257100105286,0.9701216220855713,0.9946194589138031
short,2,TaCl5,mp-29831,0.9910685420036316,85.1508120649652,FeCl3;GaCl3,3;0,0.9805256128311157,0.9924179911613464,0.9709963202476501,0.9946193695068359
short,3,TaCl5,mp-29831,0.9910685420036316,75.4060324825986,FeCl3;GaCl3;InBr3,3;0;3,0.9934866428375244,0.9977152943611145,0.982824444770813,0.9986410737037659
short,4,TaCl5,mp-29831,0.9931429624557495,78.88631090487239,FeCl3;GaCl3;InBr3;ZrCl4,3;0;3;0,0.9940024614334106,0.9988009333610535,0.982824444770813,0.9988278150558472
short,1,ZrCl4,mp-569175,0.9934866428375244,90.48723897911833,FeCl3,4,0.9472464323043823,0.9832227230072021,0.970121443271637,0.9946195483207703
short,2,ZrCl4,mp-569175,0.9934866428375244,90.48723897911833,FeCl3;GaCl3,4;0,0.9805256128311157,0.9920150637626648,0.9709964394569397,0.9946194291114807
short,3,ZrCl4,mp-569175,0.9934866428375244,81.90255220417633,FeCl3;GaCl3;InBr3,4;0;3,0.9910687208175659,0.9973123669624329,0.982824444770813,0.9986410737037659
short,4,ZrCl4,mp-569175,0.9959904551506042,79.58236658932715,FeCl3;GaCl3;InBr3;TaCl5,4;0;3;32,0.9940024614334106,0.998801052570343,0.9832636713981628,0.999016284942627
short,1,GaCl3,mp-30952,0.9108453989028931,16.70533642691415,InBr3,2,0.9834681749343872,0.9921016693115234,0.9805291295051575,0.998693972826004
short,2,GaCl3,mp-30952,0.9590230584144592,20.417633410672853,InBr3;ZrCl4,2;3,0.9930264949798584,0.9969017505645752,0.9816297292709351,0.9989975988864899
short,3,GaCl3,mp-30952,0.9590230584144592,20.185614849187935,InBr3;ZrCl4;AlCl3,2;3;1,0.9934866428375244,0.9980640411376953,0.9816297292709351,0.9989975988864899
short,4,GaCl3,mp-30952,0.9590230584144592,20.185614849187935,InBr3;ZrCl4;AlCl3;FeCl3,2;3;1;0,0.9959902763366699,0.9991495609283447,0.9816297292709351,0.9989975988864899
baseline,1,AlCl3,mp-25470,0.9719799160957336,59.86078886310905,ZrCl4,0,0.9781659245491028,0.9890125393867493,0.9632912874221802,0.9965062737464905
baseline,2,AlCl3,mp-25470,0.9957284927368164,81.20649651972158,ZrCl4;InBr3,0;2,0.9853523969650269,0.9961346983909607,0.9871216416358948,0.9990811347961426
baseline,3,AlCl3,mp-25470,0.9957284927368164,81.20649651972158,ZrCl4;InBr3;GaCl3,0;2;0,0.9953707456588745,0.9985759258270264,0.9877034425735474,0.9990811347961426
baseline,4,AlCl3,mp-25470,0.9957284927368164,81.20649651972158,ZrCl4;InBr3;GaCl3;FeCl3,0;2;0;0,0.9970696568489075,0.9993475079536438,0.9877034425735474,0.9990811347961426
baseline,1,FeCl3,mp-23204,0.9907227754592896,85.61484918793504,ZrCl4,0,0.9719798564910889,0.9858887791633606,0.9632912874221802,0.9965062737464905
baseline,2,FeCl3,mp-23204,0.9949368238449097,79.81438515081206,ZrCl4;InBr3,0;3,0.9853523969650269,0.9964118003845215,0.9865424633026123,0.999253123998642
baseline,3,FeCl3,mp-23204,0.9949368238449097,79.81438515081206,ZrCl4;InBr3;GaCl3,0;3;0,0.9969278573989868,0.9988530278205872,0.9868815541267395,0.999253123998642
baseline,4,FeCl3,mp-23204,0.9949368238449097,79.58236658932715,ZrCl4;InBr3;GaCl3;AlCl3,0;3;0;0,0.9970696568489075,0.9993650317192078,0.9868815541267395,0.999253123998642
