formula,local_median_pct,local_min_pct,local_max_pct,local_mean_pct,local_top20_count,local_top10_count,n_configs,reserved_formula,median_mean_percentile,min_mean_percentile,median_nearest_percentile,min_nearest_percentile,settings,topology_max_frac_exact6,topology_any_fallback
TiF4,97.79582366589327,90.02320185614849,97.91183294663574,96.24903325599382,6,6,6,False,87.41209563994374,82.84106891701828,83.26300984528832,80.73136427566807,6.0,0.5,False
CrF4,96.17169373549885,96.05568445475639,97.21577726218096,96.36504253673627,6,6,6,False,88.11533052039381,84.66947960618847,89.31082981715893,82.84106891701828,6.0,0.75,False
HfI4,95.70765661252901,91.64733178654292,99.76798143851508,95.3982985305491,6,6,6,False,97.18706047819973,93.9521800281294,95.9212376933896,95.35864978902954,6.0,1.0,True
ZrI4,95.59164733178655,91.87935034802784,99.53596287703016,95.28228924980665,6,6,6,False,97.39803094233474,94.51476793248943,94.9367088607595,94.51476793248943,6.0,1.0,True
VF4,92.5754060324826,91.415313225058,97.6798143851508,93.50348027842227,6,6,6,False,91.9831223628692,88.60759493670885,91.49085794655414,89.59212376933895,6.0,1.0,False
HfCl4,91.9953596287703,90.95127610208816,100.0,93.38747099767981,6,6,6,False,92.26441631504925,90.29535864978902,99.29676511954992,99.15611814345992,6.0,1.0,True
VCl4,99.07192575406032,81.20649651972158,99.53596287703016,96.13302397525136,6,5,6,False,31.92686357243319,26.58227848101265,64.20534458509142,27.285513361462726,6.0,1.0,True
TiCl4,98.83990719257541,82.36658932714617,99.07192575406032,96.01701469450889,6,5,6,False,44.23347398030943,30.09845288326301,63.50210970464136,27.004219409282697,6.0,1.0,True
TiBr4,98.37587006960557,83.52668213457076,98.60788863109049,95.86233565351894,6,5,6,False,53.72714486638537,38.25597749648382,61.74402250351618,28.691983122362867,6.0,1.0,True
AuCl3,96.51972157772622,81.67053364269141,98.37587006960557,94.50889404485692,6,5,6,False,87.34177215189874,84.38818565400844,63.36146272855134,42.47538677918425,6.0,0.1666666666666666,True
SnCl4,96.40371229698376,86.07888631090486,97.91183294663574,95.05027068832173,6,5,6,False,67.22925457102673,62.30661040787623,61.32208157524613,39.80309423347398,6.0,1.0,True
CrCl3,96.2877030162413,82.830626450116,96.98375870069606,93.73549883990718,6,5,6,False,99.15611814345992,98.73417721518987,78.12939521800281,73.27707454289732,6.0,1.0,True
SnBr4,95.35962877030161,84.68677494199535,97.4477958236659,94.0061871616396,6,5,6,False,70.8860759493671,63.57243319268636,62.65822784810126,47.81997187060478,6.0,1.0,True
ReCl4,94.19953596287704,80.51044083526682,96.2877030162413,92.38205723124516,6,5,6,False,88.46694796061885,84.10689170182842,80.16877637130801,78.62165963431787,6.0,1.0,True
SnI4,92.92343387470999,88.16705336426914,96.75174013921114,92.92343387470997,6,5,6,False,73.69901547116737,68.77637130801688,65.54149085794656,62.869198312236286,6.0,1.0,True
MnF4,92.11136890951276,88.8631090487239,97.91183294663574,92.26604795050271,6,5,6,False,94.79606188466948,89.87341772151899,92.9676511954993,91.56118143459916,6.0,0.6875,False
TcCl4,90.71925754060325,88.16705336426914,98.83990719257541,91.7246713070379,6,5,6,False,95.0773558368495,90.85794655414908,96.55414908579463,95.63994374120956,6.0,1.0,True
VF5,91.29930394431554,87.93503480278422,94.89559164733178,91.37664346481051,6,3,6,False,78.69198312236287,77.77777777777779,90.50632911392404,89.0295358649789,6.0,0.4,False
TiI4,90.37122969837587,87.93503480278422,99.30394431554525,91.53132250580046,6,3,6,False,94.86638537271448,91.27988748241911,97.39803094233474,94.9367088607595,6.0,1.0,True
MoCl4,90.25522041763341,86.07888631090486,98.14385150812065,90.64191802010828,6,3,6,False,93.17862165963432,90.154711673699,95.28832630098454,93.9521800281294,6.0,1.0,True
CrF5,89.79118329466357,86.3109048723898,94.43155452436194,89.79118329466358,6,3,6,False,78.41068917018283,76.79324894514767,90.78762306610408,88.0450070323488,6.0,0.6,False
ReCl5,88.2830626450116,87.47099767981439,92.34338747099768,89.05645784996132,6,2,6,False,79.46554149085794,75.80872011251758,92.33473980309424,91.70182841068916,6.0,0.8,True
VCl5,86.77494199535963,83.06264501160094,90.25522041763341,86.34957463263727,6,1,6,False,81.0126582278481,77.77777777777779,98.52320675105486,98.31223628691984,6.0,1.0,True
TcBr4,85.96287703016242,82.5986078886311,99.07192575406032,87.54833720030935,6,1,6,False,97.8902953586498,93.53023909985936,94.0225035161744,92.40506329113924,6.0,1.0,True
NbCl5,81.20649651972158,80.04640371229699,93.96751740139212,83.7200309358082,6,1,6,False,82.9817158931083,79.60618846694796,99.29676511954992,98.59353023909986,6.0,1.0,True
AlI3,100.0,55.91647331786543,100.0,92.61407579273009,5,5,6,False,38.18565400843882,28.270042194092827,74.40225035161744,65.26019690576652,6.0,1.0,True
GaBr3,99.76798143851508,57.076566125290014,99.76798143851508,92.57540603248259,5,5,6,False,42.82700421940928,29.957805907173,73.76933895921238,64.69760900140648,6.0,1.0,True
GaI3,99.18793503480279,57.540603248259856,99.53596287703016,92.3047177107502,5,5,6,False,56.61040787623067,46.27285513361463,67.86216596343179,63.29113924050633,6.0,1.0,True
Ga3Cl7,98.95591647331787,51.972157772621806,100.0,91.29930394431555,5,5,6,False,48.171589310829816,30.52039381153305,37.41209563994374,26.863572433192683,6.0,0.0,False
PtCl4,98.14385150812065,78.19025522041764,99.30394431554525,95.08894044856923,5,5,6,False,25.24613220815753,22.644163150492265,62.58790436005626,27.70745428973277,6.0,1.0,True
BeCl2,97.4477958236659,39.21113689095127,99.07192575406032,87.78035576179428,5,5,6,False,19.831223628691983,18.565400843881857,24.19127988748242,19.971870604782,6.0,1.0,True
BeI2,96.40371229698376,39.675174013921115,97.91183294663574,86.92962103634959,5,5,6,False,22.573839662447256,19.40928270042194,23.347398030942333,20.253164556962027,6.0,1.0,True
BeBr2,96.05568445475637,18.561484918793504,97.4477958236659,82.5599381283836,5,5,6,False,19.057665260196902,18.70604781997187,21.448663853727147,20.253164556962027,6.0,1.0,True
AuBr3,95.01160092807424,71.46171693735499,97.4477958236659,91.68600154679041,5,5,6,False,91.77215189873418,90.9985935302391,64.9789029535865,53.86779184247538,6.0,0.3333333333333333,True
GaBr2,95.01160092807424,44.08352668213457,97.6798143851508,87.0843000773395,5,5,6,False,22.36286919831224,20.11251758087201,19.549929676511955,19.12798874824191,6.0,0.0,False
GaCl2,94.89559164733177,43.38747099767982,96.75174013921114,86.65893271461717,5,5,6,False,19.76090014064697,19.40928270042194,19.69057665260197,18.9873417721519,6.0,0.0,False
ReI3,93.85150812064965,53.596287703016245,96.2877030162413,87.50966744006188,5,5,6,False,88.88888888888889,81.29395218002813,66.03375527426161,36.0056258790436,6.0,0.0,False
GaI2,93.38747099767981,42.69141531322506,98.37587006960557,85.34416086620263,5,4,6,False,30.098452883263008,21.37834036568214,19.901547116736992,18.70604781997187,6.0,0.0,False
ZnI2,91.9953596287703,38.97911832946635,95.1276102088167,83.60402165506574,5,4,6,False,27.988748241912795,26.72292545710267,20.11251758087201,18.84669479606189,6.0,0.75,True
ZnBr2,90.83526682134571,38.74709976798144,93.96751740139212,82.67594740912607,5,4,6,False,57.10267229254572,41.35021097046413,30.52039381153305,19.40928270042194,6.0,1.0,True
HgI2,91.1832946635731,40.37122969837587,94.43155452436194,83.17865429234338,5,3,6,False,48.80450070323488,41.20956399437412,23.488045007032348,23.066104078762308,6.0,1.0,True
PdCl2,91.06728538283062,42.22737819025522,95.1276102088167,83.52668213457076,5,3,6,False,61.18143459915612,60.19690576652602,26.863572433192683,24.613220815752463,6.0,0.3333333333333333,False
AuCl2,90.71925754060325,40.835266821345705,94.89559164733178,83.4106728538283,5,3,6,False,43.81153305203938,34.88045007032349,21.09704641350211,20.53445850914205,6.0,0.5,False
CuBr2,90.25522041763341,37.58700696055685,93.27146171693735,81.59319412219644,5,3,6,False,60.337552742616026,58.368495077355846,26.160337552742615,25.17580872011252,6.0,1.0,True
HgBr2,89.79118329466357,39.90719257540603,93.27146171693735,81.47718484145399,5,3,6,False,33.895921237693386,25.457102672292542,19.831223628691983,19.26863572433193,6.0,1.0,True
HgCl2,89.32714617169373,29.930394431554525,92.80742459396751,79.4276875483372,5,3,6,False,23.62869198312236,19.69057665260197,18.77637130801688,18.424753867791843,6.0,1.0,True
ReCl3,87.47099767981439,54.75638051044084,93.7354988399072,83.52668213457076,5,3,6,False,88.81856540084388,86.21659634317862,70.18284106891701,64.13502109704642,6.0,0.0,False
Au3F8,88.2830626450116,55.22041763341067,93.27146171693735,83.75870069605568,5,2,6,False,87.27144866385373,84.81012658227847,66.31504922644163,65.82278481012658,6.0,0.375,False
Pt3I8,87.47099767981439,62.18097447795824,90.95127610208816,84.06805877803556,5,2,6,False,91.70182841068916,86.21659634317862,72.9957805907173,69.19831223628692,6.0,0.375,True
InBr2,87.35498839907193,43.851508120649655,92.34338747099768,81.1678267594741,5,2,6,False,28.69198312236287,23.347398030942333,20.464135021097043,19.971870604782,6.0,0.0,False
