soap_config,alpha,formula,material_id,mean_similarity,mean_percentile,nearest_similarity,nearest_percentile
short,0.1,InI3,mp-567789,0.9520626282973204,79.46554149085794,0.9672858012641952,30.09845288326301
short,0.1,AlBr3,mp-23288,0.9077303683644847,26.300984528832632,0.998197908908981,93.24894514767934
short,0.1,ZnCl2,mp-22909,0.9166445761159514,32.20815752461322,0.9325743367591423,21.518987341772153
short,0.1,SnCl2,mp-29179,0.9202162193399043,34.88045007032349,0.9610250590213617,27.566807313642755
short,1.0,InI3,mp-567789,0.9663041010981331,78.05907172995781,0.9851068171590949,52.883263009845294
short,1.0,AlBr3,mp-23288,0.9231924811064914,23.628691983122362,0.9984068944540202,92.26441631504923
short,1.0,ZnCl2,mp-22909,0.9476761116104623,63.9943741209564,0.9549012454416318,19.831223628691983
short,1.0,SnCl2,mp-29179,0.9399759672169132,36.427566807313646,0.9765573350228479,29.957805907172997
short,10.0,InI3,mp-567789,0.971463214006978,77.77777777777779,0.988514939099941,63.9943741209564
short,10.0,AlBr3,mp-23288,0.936952614898877,26.019690576652604,0.9987384587719238,92.12376933895922
short,10.0,ZnCl2,mp-22909,0.9546123697622254,65.9634317862166,0.9619993824139184,20.253164556962027
short,10.0,SnCl2,mp-29179,0.9448302715240672,34.036568213783404,0.979156467842488,31.364275668073137
baseline,0.1,InI3,mp-567789,0.9745840873839509,71.72995780590718,0.9852307150010978,61.04078762306611
baseline,0.1,AlBr3,mp-23288,0.9493248315506593,20.956399437412095,0.9975833908614147,85.65400843881856
baseline,0.1,ZnCl2,mp-22909,0.951961242648739,25.035161744022506,0.9614355838854097,19.69057665260197
baseline,0.1,SnCl2,mp-29179,0.9564515802915458,34.036568213783404,0.9794965078452846,30.942334739803094
baseline,1.0,InI3,mp-567789,0.9815508592453375,70.18284106891703,0.9892216517903647,60.75949367088608
baseline,1.0,AlBr3,mp-23288,0.9654820792502881,52.46132208157525,0.9984776938708484,84.52883263009845
baseline,1.0,ZnCl2,mp-22909,0.9593768797284744,22.22222222222222,0.9672486660697266,19.12798874824191
baseline,1.0,SnCl2,mp-29179,0.9634727423185785,33.19268635724332,0.9825491030645996,34.88045007032349
baseline,10.0,InI3,mp-567789,0.9823898940520819,69.19831223628692,0.9896070103961323,60.618846694796055
baseline,10.0,AlBr3,mp-23288,0.9679583108249791,56.9620253164557,0.9986286129780938,84.81012658227847
baseline,10.0,ZnCl2,mp-22909,0.9602532780376561,22.081575246132207,0.9690867126944016,19.12798874824191
baseline,10.0,SnCl2,mp-29179,0.9642856569027524,33.19268635724332,0.98284234531119,36.0056258790436
