soap_config,alpha,formula,material_id,mean_similarity,mean_percentile,nearest_similarity,nearest_percentile
short,0.1,AlCl3,mp-25470,0.9384415657313565,73.9803094233474,0.9873391095249684,80.16877637130801
short,0.1,FeCl3,mp-23204,0.9607441965798481,88.74824191279887,0.9846361809188725,69.90154711673699
short,0.1,GaF3,mp-588,0.9602387871404156,89.59212376933895,0.9942906808354469,87.9043600562588
short,0.1,InBr3,mp-570219,0.9637895686255386,92.12376933895922,0.9942895915601848,89.87341772151899
short,0.1,TaCl5,mp-29831,0.948196977524978,78.48101265822784,0.9885465164963009,79.0436005625879
short,0.1,ZrCl4,mp-569175,0.9604399092391261,89.17018284106891,0.9885521677234337,77.21518987341773
short,0.1,GaCl3,mp-30952,0.8928409420443081,19.40928270042194,0.9251107718975783,20.112517580872012
short,1.0,AlCl3,mp-25470,0.9546543865903038,72.29254571026723,0.9943782889778595,83.12236286919831
short,1.0,FeCl3,mp-23204,0.9724311706088877,85.65400843881856,0.9883486518282947,66.52601969057666
short,1.0,GaF3,mp-588,0.9695175809194754,82.9817158931083,0.9972334843037339,89.73277074542897
short,1.0,InBr3,mp-570219,0.9713233612756627,85.0914205344585,0.9972334841127697,92.12376933895922
short,1.0,TaCl5,mp-29831,0.9683978673640365,81.15330520393812,0.997577634607306,91.9831223628692
short,1.0,ZrCl4,mp-569175,0.9743049320863556,91.9831223628692,0.9975776631145379,91.13924050632912
short,1.0,GaCl3,mp-30952,0.910037718512,18.70604781997187,0.9469618011428855,19.69057665260197
short,10.0,AlCl3,mp-25470,0.9616696695171538,72.57383966244726,0.9955833753765604,83.12236286919831
short,10.0,FeCl3,mp-23204,0.9768386208528114,87.48241912798875,0.9909272053565775,67.79184247538677
short,10.0,GaF3,mp-588,0.9741201219675512,83.12236286919831,0.9977876685221458,89.87341772151899
short,10.0,InBr3,mp-570219,0.9756206040706886,84.38818565400844,0.9977876685219161,92.26441631504923
short,10.0,TaCl5,mp-29831,0.9722855696767733,80.16877637130801,0.9978958610649715,91.27988748241913
short,10.0,ZrCl4,mp-569175,0.9780615152496344,91.13924050632912,0.9978958748573411,90.15471167369901
short,10.0,GaCl3,mp-30952,0.9260230445700617,18.9873417721519,0.9583446565368404,20.956399437412095
baseline,0.1,AlCl3,mp-25470,0.9749718104562715,76.93389592123769,0.9960522491257218,84.52883263009845
baseline,0.1,FeCl3,mp-23204,0.9829785351629993,92.68635724331928,0.9928366642264195,68.21378340365682
baseline,0.1,GaF3,mp-588,0.9790970559878115,83.40365682137833,0.9979478011351768,89.0295358649789
baseline,0.1,InBr3,mp-570219,0.9807433814329974,88.74824191279887,0.9979477900712328,91.27988748241913
baseline,0.1,TaCl5,mp-29831,0.9771865134142929,78.48101265822784,0.9971005032627773,87.62306610407876
baseline,0.1,ZrCl4,mp-569175,0.9825722729197578,91.42053445850914,0.9971006868613,85.0914205344585
baseline,0.1,GaCl3,mp-30952,0.944784414912601,20.253164556962027,0.9658976601890226,21.80028129395218
baseline,1.0,AlCl3,mp-25470,0.9841980738577324,79.60618846694796,0.9975652417617406,84.38818565400844
baseline,1.0,FeCl3,mp-23204,0.9882093869340859,91.56118143459916,0.9962704445537625,72.9957805907173
baseline,1.0,GaF3,mp-588,0.9859782197164494,87.9043600562588,0.9987358251075699,89.31082981715893
baseline,1.0,InBr3,mp-570219,0.987386951334477,89.87341772151899,0.9987358250841019,91.27988748241913
baseline,1.0,TaCl5,mp-29831,0.9824557387818565,69.76090014064698,0.9976736656276013,85.79465541490859
baseline,1.0,ZrCl4,mp-569175,0.987633605418578,89.0295358649789,0.9976737253912316,82.84106891701828
baseline,1.0,GaCl3,mp-30952,0.9647296174127905,27.70745428973277,0.9764243907647262,23.347398030942333
baseline,10.0,AlCl3,mp-25470,0.9852755262383616,79.74683544303798,0.9977037462962908,84.38818565400844
baseline,10.0,FeCl3,mp-23204,0.9888911421285606,91.13924050632912,0.9966180981709388,73.55836849507736
baseline,10.0,GaF3,mp-588,0.9868372406858649,87.48241912798875,0.9988083004792714,88.74824191279887
baseline,10.0,InBr3,mp-570219,0.9882264424015194,89.87341772151899,0.9988083004792712,90.9985935302391
baseline,10.0,TaCl5,mp-29831,0.9830656259850744,68.77637130801688,0.9977156578656958,85.23206751054853
baseline,10.0,ZrCl4,mp-569175,0.9882531063348527,87.9043600562588,0.9977157200084061,82.41912798874824
baseline,10.0,GaCl3,mp-30952,0.9678252276932171,34.88045007032349,0.9784196322675428,24.47257383966245
