material_id,formula,n_X,h,k,l,frac_exact6,mean_inplane_count,median_inplane_count,mean_psi6_exact6,mean_psi4_exact6,psi6_minus_psi4,psi6_over_psi4,strict_exact6_all,fallback_sixfold
mp-27972,AcBr3,6,1,1,1,0.0,2.0,3.0,0.0,0.0,0.0,0.0,False,False
mp-27971,AcCl3,6,1,1,1,0.0,2.0,3.0,0.0,0.0,0.0,0.0,False,False
mp-542298,Ag2F5,20,0,1,-2,0.5,4.6,6.0,0.33383996141456374,0.2688554664423182,0.06498449497224551,1.2417079177602945,False,False
mp-1391,Ag2F,1,0,0,1,1.0,6.0,6.0,0.9999999999998993,2.1146319998253755e-07,0.9999997885366994,4728955.203943185,True,True
mp-562412,Ag3F8,16,0,1,0,0.75,6.5,6.0,0.675431004707927,0.15218133766274117,0.5232496670451858,4.43833005466671,False,True
mp-23231,AgBr,1,0,0,1,1.0,6.0,6.0,0.9999999999998219,2.8130621231691943e-07,0.9999997186936096,3554845.0628357343,True,True
mp-22922,AgCl,1,1,0,0,1.0,6.0,6.0,0.9999999999999982,2.8321506886928783e-08,0.9999999716784913,35308855.70433853,True,True
mp-570687,AgCl,2,1,0,-1,1.0,6.0,6.0,0.980519315406589,0.02795388094365775,0.9525654344629313,35.07632150909092,True,True
mp-570858,AgCl,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
mp-2284,AgF2,8,1,1,1,0.0,2.5,2.0,0.0,0.0,0.0,0.0,False,False
mp-7715,AgF2,4,1,1,1,0.0,3.0,3.0,0.0,0.0,0.0,0.0,False,False
mp-7592,AgF,1,0,0,1,1.0,6.0,6.0,0.9999999999999702,1.1486615088998352e-07,0.9999998851338193,8705784.883118005,True,True
mp-22894,AgI,2,0,0,1,1.0,6.0,6.0,0.9999999999995239,4.599764095942272e-07,0.9999995400231143,2174024.535044491,True,True
mp-22915,AgI,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
mp-22919,AgI,1,1,0,0,1.0,6.0,6.0,1.0,1.4918173637706032e-16,0.9999999999999999,1000000000000.0,True,True
mp-22925,AgI,1,0,1,0,1.0,6.0,6.0,0.9999999999999556,1.40273869081293e-07,0.9999998597260865,7128911.511098513,True,True
mp-567809,AgI,2,1,0,1,1.0,6.0,6.0,0.9841308616458091,0.031764272267850426,0.9523665893779587,30.982320430551074,True,True
mp-580941,AgI,4,0,0,1,1.0,6.0,6.0,0.9999999999998286,2.759994841646328e-07,0.9999997240003444,3623195.17743494,True,True
mp-23288,AlBr3,12,0,1,-1,1.0,6.0,6.0,0.9635569046773521,0.06537315349157256,0.8981837511857795,14.739336458682033,True,True
