k,cluster,positive_coverage,positive_prevalence,background_prevalence,enrichment,fisher_p,medoid_structure_idx,medoid_site_idx,fdr_q,medoid_formula,center_type,geo_nX_available,geo_radial_cv,geo_planarity_ratio,geo_best_m,geo_best_psi,geo_psi6,geo_psi2,geo_psi3,geo_psi4,geo_psi5,geo_psi7,geo_psi8,geo_psi9,geo_psi10
32,0,2,0.2857142857142857,0.09563994374120956,2.987374178232594,0.14279560902374622,584,11,0.9147673779126705,MMe4,X,6,0.015804135730237485,0.314151069207451,6,0.5543878052090303,0.5543878052090303,0.16650239611293668,0.33764713540228486,0.310106958417886,0.10367238586439059,0.3844873060362236,0.5132100508017002,0.13297339389665533,0.3590845450561032
32,1,0,0.0,0.03375527426160337,2.9624122385374333e-05,1.0,712,11,1.0,MMe2,X,6,0.012108914477615793,0.19847178024161471,6,0.7167132026532679,0.7167132026532679,0.18825979988277766,0.1583233376976995,0.4490929066959077,0.5380617095433408,0.24741282263037687,0.4369802229299515,0.31433304407230156,0.21013693588509488
32,2,0,0.0,0.2714486638537271,3.6839242524863035e-06,1.0,84,0,1.0,MMe2,M,6,0.00018632628629380936,0.32571360774658326,6,0.9999999999995974,0.9999999999995974,2.1147274039309268e-07,2.489420530285319e-16,4.229455298629043e-07,2.0799005727305334e-16,6.725280275412618e-16,8.45890863413377e-07,4.1748851477261605e-16,1.0573639472487505e-06
32,3,0,0.0,0.014064697609001406,7.109494514939989e-05,1.0,316,79,1.0,M5Me7,M,6,0.20891889059302107,0.16598763124693608,6,0.8005977057433695,0.8005977057433695,0.12030512712566803,0.1440017901681467,0.24865219207729897,0.10658252490113146,0.22626606311729727,0.37761599087485515,0.4080875558494293,0.5138882940483097
32,4,0,0.0,0.15330520393811534,6.522893231402866e-06,1.0,323,44,1.0,MMe,X,6,0.009685107691139115,0.21958194541446532,10,0.6952259011158143,0.41711828042255217,0.15283782655861966,0.17591304375078815,0.23276126328928454,0.6446067750748421,0.18720044736578956,0.10876302506474061,0.2509460753614268,0.6952259011158143
32,5,0,0.0,0.014064697609001406,7.109494514939989e-05,1.0,562,37,1.0,M2Me5,M,6,0.2018789163191724,0.18674925078568028,8,0.8802589357803499,0.4947837473378169,0.2749364368053471,0.07367281153374801,0.3071147780339564,0.1718407388314283,0.13170810141283615,0.8802589357803499,0.31866265609951233,0.1228218395671934
32,6,0,0.0,0.04360056258790436,2.2934957846611967e-05,1.0,286,11,1.0,MMe2,M,6,0.2586638409955141,0.14405274161094553,6,0.8964244794433717,0.8964244794433717,0.10813661780051426,0.3180525767030778,0.17725042366555743,0.4301458392220183,0.27797849087637355,0.45459576222958287,0.20968373274198718,0.29722464857440817
32,7,1,0.14285714285714285,0.08720112517580872,1.638241528737123,0.475689605107763,59,4,1.0,MMe3,X,6,0.021437627379016302,0.203821522240406,7,0.767127463390104,0.04014078570927104,0.17412084213454238,0.25854898332619947,0.23424161365969584,0.2882900663214931,0.767127463390104,0.18800592832889343,0.3474865307175331,0.6712709213303967
32,8,0,0.0,0.06047819971870605,1.653461032307117e-05,1.0,562,76,1.0,M2Me5,X,6,0.020585127163983082,0.17038875241743398,6,0.8925623654753324,0.8925623654753324,0.11406386310264516,0.007374249645372337,0.19989479803969892,0.024483958522201418,0.009998486266193086,0.46764323167532085,0.030728998660850212,0.38775878787512624
32,9,0,0.0,0.03375527426160337,2.9624122385374333e-05,1.0,24,8,1.0,MMe3,M,6,0.0027761932318377926,0.33182856642092595,4,1.0,0.3333333333333333,0.3333333333333333,1.6966125969332002e-16,1.0,3.070749160805222e-16,2.836157669092489e-16,1.0,4.542270491117409e-16,0.3333333333333333
32,10,1,0.14285714285714285,0.02812939521800281,5.0784264405114685,0.18834163306389523,601,14,0.9147673779126705,MMe4,X,6,0.03376671105152211,0.13358610041348692,8,0.5885981063293735,0.4587395258726598,0.402069415521893,0.014796243940995102,0.20699740406636746,0.3733503583150757,0.14881547188643282,0.5885981063293735,0.11823432233556634,0.3371976545939489
32,11,0,0.0,0.011251758087201125,8.886710193631541e-05,1.0,312,64,1.0,M2Me3,X,6,0.0809923853360067,0.1993478226213521,9,0.6301261137833687,0.14308833558365155,0.29114397373989687,0.2765788827442483,0.38539861264567815,0.14001916097317557,0.3569548413491716,0.2903137892814296,0.6301261137833687,0.06317640731749896
32,12,0,0.0,0.029535864978902954,3.3855996589829744e-05,1.0,50,23,1.0,MMe2,X,6,0.018584598446768602,0.17049868582234842,6,0.8968805654389846,0.8968805654389846,0.11203405084557919,0.1855247855123187,0.18794089130186037,0.6572104779168295,0.2685579547167866,0.47168893661116723,0.49847727573012673,0.3354025561190159
32,13,2,0.2857142857142857,0.11814345991561181,2.41835534157392,0.20010536391839667,524,44,0.9147673779126705,MMe5,X,6,0.03975419402570063,0.28713460165199156,5,0.6508863496507883,0.461078610420782,0.14709202457151452,0.1553245618267816,0.37160633556824274,0.6508863496507883,0.12183750521185557,0.10521795010252827,0.26296905184615843,0.2251700931195683
32,14,0,0.0,0.26582278481012656,3.761890610030563e-06,1.0,111,10,1.0,MMe2,X,6,0.004938820966056287,0.1908626332888434,6,0.7815687048260175,0.7815687048260175,0.19145804706128478,0.2869587292907849,0.47564522188935043,0.1930440183020452,0.49074889578170844,0.46685717864539855,0.03302972531976309,0.38509714277217433
32,15,1,0.14285714285714285,0.029535864978902954,4.836604797400839,0.19649315181361213,26,0,0.9147673779126705,MMe3,M,6,0.3428675060092032,0.11605885832268974,7,0.5767712516488878,0.31566925823631414,0.06973116221883366,0.18538647060688643,0.5120254481410963,0.20376434396079743,0.5767712516488878,0.26979025248568256,0.46995112231827657,0.10336324254516835
32,16,0,0.0,0.04219409282700422,2.3699438323311737e-05,1.0,259,0,1.0,M6Me7,M,6,0.22242710142835395,0.16049762539358173,8,0.5478880932257626,0.40771449597310594,0.07169095655123418,0.47487328472811186,0.3076842199575176,0.22115410025571436,0.01691362724022505,0.5478880932257626,0.18503579721926766,0.05393293232832186
32,17,0,0.0,0.11954992967651196,8.364635914633702e-06,1.0,323,24,1.0,MMe,M,6,0.1046504154542735,0.20642161829075265,6,0.9035154162120544,0.9035154162120544,2.0014830212433605e-16,0.21964128003172073,4.311322028175613e-16,4.1920210855210774e-16,1.0467283057891834e-16,6.587037401205794e-16,0.6165398451221382,1.1993206741129766e-15
32,18,0,0.0,0.01828410689170183,5.4689316607376314e-05,1.0,564,10,1.0,M3Me7,M,6,0.18553050486330122,0.19268004507711967,8,0.6686010686835357,0.40409064518147847,0.2648473805024282,0.06852540997235414,0.4115572548719845,0.2927825363771471,0.3513094235266284,0.6686010686835357,0.11967428245314135,0.334390179172332
32,19,0,0.0,0.009845288326300985,0.00010156111286410765,1.0,316,71,1.0,M5Me7,M,6,0.04332005264431389,0.2502405522379872,4,0.6270619771227879,0.40731029922525014,0.2652687124271971,0.2141572113413591,0.6270619771227879,0.3425773403916645,0.3931934609311402,0.4214465662850854,0.3886926352829099,0.11116707466020923
32,20,2,0.2857142857142857,0.06469760900140648,4.416096267356761,0.07409017596030291,657,0,0.9147673779126705,MMe3,M,6,0.0003571999917103536,0.31819295028314887,6,0.9647988237020052,0.9647988237020052,0.008522855049996716,0.13136302835267574,0.017508133520917298,0.008704169092579244,0.0033976132681714094,0.03085889414700028,0.3844884870417008,0.04203058468285924
32,21,0,0.0,0.1209563994374121,8.267373510435279e-06,1.0,531,32,1.0,M11Me24,M,6,0.022669775711267333,0.20295386925694323,6,0.878868886002073,0.878868886002073,0.08586066521365049,0.02995917219335763,0.20037261215366467,0.14511719204646878,0.2787418734094135,0.2232945751119249,0.2256140294425903,0.46829355600451233
32,22,4,0.5714285714285714,0.11954992967651196,4.779800315855173,0.005769650158882192,604,4,0.18462880508423016,MMe3,X,6,0.017389840820082946,0.19168369925792425,6,0.7559775979555772,0.7559775979555772,0.21844807475559586,0.1564023174487831,0.43308719414060404,0.5292762258274729,0.08920765084724068,0.49022752051685886,0.24813107776068039,0.30091862246053097
32,23,0,0.0,0.026722925457102673,3.7419652348798944e-05,1.0,280,4,1.0,MMe2,M,6,0.058282770188261314,0.26532058574528883,4,0.9795329566664882,0.33104052189055816,0.33306275967458204,1.858495510004605e-15,0.9795329566664882,3.393805686290811e-15,5.3488226102655924e-15,0.9194160134660316,7.380919127484109e-15,0.32772291176406193
32,24,0,0.0,0.02390998593530239,4.182178027730722e-05,1.0,614,76,1.0,M2Me3,X,6,0.01371051287292117,0.19678839258119754,7,0.6020625766779756,0.18186043846167468,0.39137998675106944,0.07993727752407283,0.19876455262817205,0.47002528104460634,0.6020625766779756,0.12894385472152825,0.5074549275478228,0.3307947693001409
